Model,Parameters,Accuracy,Mean Score,Std Score
K Nearest Neighbour,"KNeighborsClassifier(metric='manhattan', n_neighbors=3)",0.5,0.5,0.22360679774997896
NB,MultinomialNB(alpha=0.1),0.75,0.7,0.21794494717703367
